檔名,偵測到,數量,耗時
M20220812_030516_Lulin_NB[P].jpg,Yes,2,0.022
M20220812_031306_Lulin_NB[P].jpg,Yes,1,0.003
M20220812_031937_Lulin_NB[P].jpg,Yes,1,0.020
M20220812_032930_Lulin_NB[P].jpg,Yes,2,0.010
M20220812_034647_Lulin_NB[P].jpg,Yes,2,0.018
M20220812_035133_Lulin_NB[P].jpg,No,0,0.016
M20220812_035923_Lulin_NB[P].jpg,No,0,0.016
M20220812_040116_Lulin_NB[P].jpg,No,0,0.009
M20220812_041823_Lulin_NB[P].jpg,Yes,2,0.016
M20220812_042605_Lulin_NB[P].jpg,Yes,2,0.018
M20220812_042732_Lulin_NB[P].jpg,Yes,1,0.012
M20220812_042902_Lulin_NB[P].jpg,No,0,0.010
M20220812_043410_Lulin_NB[P].jpg,No,0,0.025
M20220812_044313_Lulin_NB[P].jpg,Yes,2,0.016
M20220812_223455_Lulin_NB[P].jpg,Yes,1,0.008
M20220812_224330_Lulin_NB[P].jpg,Yes,1,0.019
M20220812_231605_Lulin_NB[P].jpg,Yes,1,0.016
M20220813_004827_Lulin_NB[P].jpg,Yes,1,0.014
M20220813_010618_Lulin_NB[P].jpg,Yes,1,0.016
M20220813_011602_Lulin_NB[P].jpg,No,0,0.000
M20220813_012656_Lulin_NB[P].jpg,Yes,1,0.014
M20220813_012714_Lulin_NB[P].jpg,Yes,1,0.010
M20220813_014151_Lulin_NB[P].jpg,Yes,1,0.011
M20220813_014205_Lulin_NB[P].jpg,Yes,1,0.014
M20220813_014231_Lulin_NB[P].jpg,Yes,1,0.013
M20220813_014614_Lulin_NB[P].jpg,Yes,1,0.018
M20220813_021014_Lulin_NB[P].jpg,No,0,0.014
M20220813_021141_Lulin_NB[P].jpg,Yes,1,0.008
M20220813_021403_Lulin_NB[P].jpg,No,0,0.014
M20220813_021933_Lulin_NB[P].jpg,Yes,1,0.015
M20220813_022443_Lulin_NB[P].jpg,Yes,1,0.016
M20220813_023703_Lulin_NB[P].jpg,Yes,2,0.016
M20220813_024924_Lulin_NB[P].jpg,Yes,1,0.009
M20220813_025319_Lulin_NB[P].jpg,Yes,1,0.016
M20220813_031817_Lulin_NB[P].jpg,Yes,2,0.016
M20220813_031903_Lulin_NB[P].jpg,Yes,1,0.006
M20220813_032055_Lulin_NB[P].jpg,Yes,2,0.019
M20220813_032341_Lulin_NB[P].jpg,Yes,1,0.010
M20220813_032527_Lulin_NB[P].jpg,Yes,1,0.028
M20220813_033201_Lulin_NB[P].jpg,Yes,1,0.013
M20220813_033233_Lulin_NB[P].jpg,Yes,1,0.008
M20220813_033438_Lulin_NB[P].jpg,Yes,1,0.019
M20220813_033502_Lulin_NB[P].jpg,Yes,1,0.026
M20220813_033621_Lulin_NB[P].jpg,Yes,1,0.012
M20220813_033748_Lulin_NB[P].jpg,Yes,2,0.016
M20220813_034350_Lulin_NB[P].jpg,Yes,1,0.016
M20220813_034957_Lulin_NB[P].jpg,Yes,1,0.022
M20220813_035610_Lulin_NB[P].jpg,No,0,0.015
M20220813_035944_Lulin_NB[P].jpg,Yes,1,0.017
M20220813_040504_Lulin_NB[P].jpg,Yes,1,0.005
M20220813_040853_Lulin_NB[P].jpg,Yes,2,0.000
M20220813_041312_Lulin_NB[P].jpg,Yes,1,0.016
M20220813_041336_Lulin_NB[P].jpg,Yes,1,0.016
M20220813_041404_Lulin_NB[P].jpg,Yes,2,0.015
M20220813_041433_Lulin_NB[P].jpg,Yes,1,0.007
M20220813_041502_Lulin_NB[P].jpg,Yes,1,0.016
M20220813_042502_Lulin_NB[P].jpg,Yes,2,0.012
M20220813_042704_Lulin_NB[P].jpg,Yes,1,0.016
M20220813_043441_Lulin_NB[P].jpg,No,0,0.013
M20220813_043915_Lulin_NB[P].jpg,Yes,1,0.016
M20220813_044126_Lulin_NB[P].jpg,Yes,2,0.001
M20220814_000326_Lulin_NB[P].jpg,Yes,1,0.016
M20220814_002144_Lulin_NB[P].jpg,No,0,0.012
M20220814_003105_Lulin_NB[P].jpg,Yes,1,0.015
M20220814_005707_Lulin_NB[P].jpg,Yes,2,0.019
M20220814_013450_Lulin_NB[P].jpg,Yes,1,0.021
M20220814_013543_Lulin_NB[P].jpg,Yes,2,0.006
M20220814_015146_Lulin_NB[P].jpg,Yes,1,0.019
M20220814_020848_Lulin_NB[P].jpg,Yes,1,0.022
M20220814_020958_Lulin_NB[P].jpg,No,0,0.010
