檔名,偵測到,數量,耗時
M20220914_225137_Lulin_NB[P].jpg,Yes,1,0.015
M20220915_021509_Lulin_NB[P].jpg,Yes,2,0.008
M20220915_041254_Lulin_NB[P].jpg,Yes,1,0.016
M20220915_041430_Lulin_NB[P].jpg,Yes,1,0.016
M20220915_043114_Lulin_NB[P].jpg,No,0,0.016
M20220915_045321_Lulin_NB[P].jpg,No,0,0.011
M20220916_032251_Lulin_NB[P].jpg,Yes,1,0.012
M20220916_044827_Lulin_NB[P].jpg,Yes,1,0.016
M20220917_020032_Lulin_NB[P].jpg,Yes,1,0.016
M20220917_200501_Lulin_NB[P].jpg,Yes,1,0.016
M20220918_044852_Lulin_NB[P].jpg,Yes,1,0.016
M20220918_210059_Lulin_NB[P].jpg,Yes,1,0.012
M20220919_002722_Lulin_NB[P].jpg,Yes,1,0.011
M20220919_023245_Lulin_NB[P].jpg,Yes,1,0.006
M20220919_033217_Lulin_NB[P].jpg,No,0,0.006
M20220919_041026_Lulin_NB[P].jpg,No,0,0.022
M20220919_041512_Lulin_NB[P].jpg,No,0,0.006
M20220919_041745_Lulin_NB[P].jpg,No,0,0.000
M20220919_045420_Lulin_NB[P].jpg,No,0,0.011
M20220920_003217_Lulin_NB[P].jpg,No,0,0.032
M20220921_014543_Lulin_NB[P].jpg,Yes,1,0.022
M20220921_021022_Lulin_NB[P].jpg,Yes,1,0.019
M20220921_021041_Lulin_NB[P].jpg,Yes,1,0.014
M20220921_023222_Lulin_NB[P].jpg,Yes,1,0.022
M20220921_024315_Lulin_NB[P].jpg,Yes,1,0.016
M20220921_035651_Lulin_NB[P].jpg,Yes,1,0.020
M20220921_041034_Lulin_NB[P].jpg,Yes,1,0.023
M20220921_041039_Lulin_NB[P].jpg,Yes,2,0.020
M20220921_041403_Lulin_NB[P].jpg,Yes,1,0.011
M20220921_042923_Lulin_NB[P].jpg,Yes,1,0.005
M20220923_045051_Lulin_NB[P].jpg,Yes,1,0.000
M20220923_045845_Lulin_NB[P].jpg,Yes,1,0.013
M20220923_050024_Lulin_NB[P].jpg,Yes,1,0.016
M20220923_050039_Lulin_NB[P].jpg,Yes,1,0.006
M20220923_050310_Lulin_NB[P].jpg,Yes,1,0.016
M20220925_021201_Lulin_NB[P].jpg,Yes,1,0.000
M20220925_021954_Lulin_NB[P].jpg,Yes,1,0.016
M20220925_032013_Lulin_NB[P].jpg,Yes,1,0.028
M20220925_032942_Lulin_NB[P].jpg,Yes,1,0.013
M20220925_040910_Lulin_NB[P].jpg,Yes,1,0.023
M20220925_044247_Lulin_NB[P].jpg,Yes,1,0.008
M20220927_002033_Lulin_NB[P].jpg,Yes,1,0.016
M20220927_013304_Lulin_NB[P].jpg,Yes,1,0.021
M20220927_015345_Lulin_NB[P].jpg,Yes,1,0.009
M20220927_020009_Lulin_NB[P].jpg,Yes,1,0.015
M20220927_020343_Lulin_NB[P].jpg,Yes,1,0.011
M20220927_030523_Lulin_NB[P].jpg,Yes,2,0.019
M20220927_032330_Lulin_NB[P].jpg,Yes,1,0.009
M20220927_032650_Lulin_NB[P].jpg,Yes,1,0.010
M20220927_040228_Lulin_NB[P].jpg,Yes,3,0.012
M20220927_042713_Lulin_NB[P].jpg,Yes,1,0.009
M20220927_042935_Lulin_NB[P].jpg,Yes,2,0.014
M20220927_185609_Lulin_NB[P].jpg,Yes,1,0.011
M20220928_000447_Lulin_NB[P].jpg,No,0,0.021
M20220928_002604_Lulin_NB[P].jpg,Yes,1,0.016
M20220928_002941_Lulin_NB[P].jpg,Yes,1,0.024
M20220928_003652_Lulin_NB[P].jpg,Yes,1,0.010
M20220928_022513_Lulin_NB[P].jpg,No,0,0.015
M20220928_024057_Lulin_NB[P].jpg,No,0,0.013
M20220928_025037_Lulin_NB[P].jpg,No,0,0.021
M20220928_030448_Lulin_NB[P].jpg,Yes,1,0.014
M20220928_032343_Lulin_NB[P].jpg,Yes,1,0.012
M20220928_033055_Lulin_NB[P].jpg,Yes,1,0.012
M20220928_050556_Lulin_NB[P].jpg,Yes,1,0.016
M20220929_204600_Lulin_NB[P].jpg,Yes,1,0.003
M20220930_012128_Lulin_NB[P].jpg,Yes,2,0.009
M20220930_033247_Lulin_NB[P].jpg,No,0,0.021
M20220930_040352_Lulin_NB[P].jpg,No,0,0.006
M20220930_044056_Lulin_NB[P].jpg,Yes,1,0.016
M20220930_044734_Lulin_NB[P].jpg,Yes,1,0.013
M20220930_045933_Lulin_NB[P].jpg,Yes,1,0.012
M20220930_050206_Lulin_NB[P].jpg,Yes,1,0.006
M20221001_012357_Lulin_NB[P].jpg,Yes,1,0.034
M20221001_014604_Lulin_NB[P].jpg,Yes,1,0.024
M20221001_015249_Lulin_NB[P].jpg,No,0,0.027
M20221001_035332_Lulin_NB[P].jpg,No,0,0.024
M20221001_045200_Lulin_NB[P].jpg,Yes,1,0.012
